neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,log_price
Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,30,47,0.24,3,289,5.480638923341991
Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,30,195,0.98,1,285,4.564348191467836
Manhattan,East Harlem,40.80107,-73.94255,Private room,30,1,0.02,2,83,4.07753744390572
Manhattan,East Harlem,40.78778,-73.94759,Private room,30,249,1.28,1,186,4.290459441148391
Brooklyn,Fort Greene,40.69194,-73.97389,Private room,2,423,2.21,2,0,5.375278407684165
Brooklyn,Bedford-Stuyvesant,40.684555843449075,-73.93963415175676,Entire home/apt,30,189,0.96,2,275,5.135798437050262
Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,30,58,0.3,1,71,5.1647859739235145
Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,30,82,0.44,6,244,4.499809670330265
Queens,Long Island City,40.74757,-73.94571,Private room,2,456,2.45,1,203,5.44673737166631
Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,30,80,0.42,1,286,5.017279836814924
Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,30,176,0.91,1,300,4.74493212836325
Brooklyn,Clinton Hill,40.69121,-73.96804,Private room,30,32,0.17,1,335,4.04305126783455
Manhattan,East Village,40.72372723229208,-73.97625850509617,Private room,2,658,4.46,2,226,5.424950017481403
Manhattan,East Village,40.72281,-73.98501,Private room,1,281,1.76,2,28,5.308267697401205
Manhattan,Upper East Side,40.76967,-73.94831,Private room,30,146,0.85,1,365,6.3561076606958915
Manhattan,Chelsea,40.74261,-74.00353,Private room,30,251,1.42,1,353,5.017279836814924
Manhattan,West Village,40.73917,-74.00207,Entire home/apt,90,68,0.36,1,290,5.298317366548036
Brooklyn,Williamsburg,40.71802,-73.95724,Entire home/apt,30,58,0.31,1,306,4.553876891600541
Manhattan,Upper West Side,40.79936,-73.96155,Private room,30,79,0.42,1,286,4.718498871295094
Manhattan,Chelsea,40.74187,-74.00223,Private room,30,36,0.19,2,364,4.442651256490317
Manhattan,Harlem,40.82825,-73.95138,Entire home/apt,30,214,1.13,1,358,5.298317366548036
Brooklyn,Park Slope,40.67115,-73.98026,Entire home/apt,30,93,0.5,1,360,5.303304908059076
Brooklyn,South Slope,40.6686,-73.98723,Entire home/apt,30,479,2.57,3,93,4.499809670330265
Brooklyn,Bedford-Stuyvesant,40.68288,-73.95646,Private room,30,78,0.42,6,282,4.499809670330265
Brooklyn,Clinton Hill,40.68292,-73.96381,Private room,3,490,2.63,1,299,5.003946305945459
Manhattan,Hell's Kitchen,40.7672,-73.98464,Entire home/apt,30,75,0.4,4,335,5.135798437050262
Brooklyn,Clinton Hill,40.68818,-73.96383,Private room,2,621,3.35,2,253,4.804021044733257
Brooklyn,Boerum Hill,40.68442,-73.98068,Private room,3,43,0.27,1,364,6.639875833826536
Brooklyn,Williamsburg,40.71065139770508,-73.95087432861328,Private room,4,284,1.54,2,25,4.990432586778736
Manhattan,Lower East Side,40.71992,-73.99167,Entire home/apt,30,70,0.38,1,185,6.333279628139691
Brooklyn,Carroll Gardens,40.67813,-74.00062,Private room,30,219,1.2,4,364,5.537334267018537
Brooklyn,Fort Greene,40.69287,-73.97108,Private room,30,230,1.26,2,365,4.700480365792417
Queens,Ridgewood,40.70309,-73.89963,Entire home/apt,30,13,0.08,10,365,6.059123195581797
Bronx,Mott Haven,40.80635,-73.92201,Private room,30,0,0.0,1,263,4.0943445622221
Manhattan,Morningside Heights,40.8063,-73.95985,Private room,30,137,0.76,2,167,4.59511985013459
Brooklyn,Park Slope,40.68009896425498,-73.9746189673198,Private room,30,77,0.42,3,288,4.454347296253507
Brooklyn,Bedford-Stuyvesant,40.6829,-73.95701,Private room,30,31,0.18,6,134,4.553876891600541
Queens,Ditmars Steinway,40.77868,-73.90652,Private room,3,125,0.7,1,78,5.135798437050262
Queens,Middle Village,40.71567,-73.87842,Entire home/apt,30,33,0.18,10,365,4.762173934797756
Queens,Ridgewood,40.70422,-73.89778,Entire home/apt,30,5,0.03,10,365,5.4116460518550396
Queens,Middle Village,40.71778,-73.87714,Entire home/apt,30,16,0.09,10,365,5.700443573390687
Manhattan,Harlem,40.80255,-73.95803,Private room,30,0,0.0,1,365,5.147494476813453
Brooklyn,Park Slope,40.6789595110935,-73.97409474641334,Private room,3,216,1.19,3,232,4.672828834461906
Manhattan,East Harlem,40.79934,-73.94236,Private room,30,306,1.68,1,359,4.8283137373023015
Brooklyn,Williamsburg,40.71065,-73.95087,Private room,4,127,0.86,2,54,4.976733742420574
Queens,Ditmars Steinway,40.772472,-73.906075,Entire home/apt,30,168,0.93,1,264,4.653960350157523
Brooklyn,Brooklyn Heights,40.69003,-73.99338,Private room,30,295,1.63,1,180,5.676753802268282
Manhattan,East Harlem,40.80747,-73.94076,Entire home/apt,30,393,2.17,2,307,4.7535901911063645
Manhattan,Harlem,40.8238,-73.94444,Private room,30,686,3.9,2,309,3.784189633918261
Manhattan,Lower East Side,40.71946,-73.98641,Entire home/apt,30,60,0.33,1,59,5.0106352940962555
Queens,Ridgewood,40.70271,-73.8993,Entire home/apt,30,4,0.03,10,365,5.407171771460119
Manhattan,East Harlem,40.792667388916016,-73.946533203125,Entire home/apt,30,197,1.12,4,159,4.8283137373023015
Manhattan,Harlem,40.81006,-73.94559,Private room,30,282,1.57,4,53,4.0943445622221
Manhattan,East Village,40.72598,-73.97978,Entire home/apt,30,168,0.93,6,364,5.0106352940962555
Manhattan,Harlem,40.80371,-73.95635,Private room,30,2,0.02,1,360,4.31748811353631
Brooklyn,Greenpoint,40.72967,-73.95352,Entire home/apt,30,172,0.97,2,31,5.652489180268651
Bronx,Eastchester,40.881,-73.83511,Private room,30,57,0.38,8,359,4.8283137373023015
Brooklyn,Crown Heights,40.67634,-73.95143,Private room,30,46,0.26,1,215,4.276666119016055
Brooklyn,Crown Heights,40.67579,-73.95072,Private room,30,257,1.46,2,274,4.04305126783455
Brooklyn,Williamsburg,40.70797,-73.94792,Entire home/apt,30,164,0.91,1,90,4.68213122712422
Brooklyn,Carroll Gardens,40.68028,-73.99328,Entire home/apt,30,67,0.41,1,306,5.41610040220442
Manhattan,East Village,40.72547,-73.98619,Entire home/apt,30,173,1.36,1,145,5.855071922202427
Brooklyn,Gowanus,40.68088,-73.99102,Entire home/apt,30,249,1.53,2,267,5.342334251964811
Brooklyn,Williamsburg,40.71516,-73.96448,Entire home/apt,30,90,0.51,1,48,5.19295685089021
